key,url,throttle,steer
1557924016442711114.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016442711114.png,-0.0,-0.0
1557924016553037881.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016553037881.png,-0.0,-0.0
1557924016641849994.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016641849994.png,-0.0,-0.0
1557924016728624105.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016728624105.png,-0.0,-0.0
1557924016827006101.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016827006101.png,-0.0,-0.0
1557924016912048101.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924016912048101.png,-0.0,-0.0
1557924017000276088.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017000276088.png,-0.0,-0.0
1557924017085483074.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017085483074.png,-0.0,-0.0
1557924017170825958.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017170825958.png,-0.0,-0.0
1557924017254244089.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017254244089.png,-0.0,-0.0
1557924017336546897.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017336546897.png,-0.0,-0.0
1557924017420454978.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017420454978.png,-0.0,-0.0
1557924017503110885.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017503110885.png,-0.0,-0.0
1557924017586854934.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017586854934.png,-0.0,-0.0
1557924017668870925.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017668870925.png,-0.0,-0.0
1557924017754095077.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017754095077.png,-0.0,-0.0
1557924017836174964.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017836174964.png,-0.0,-0.0
1557924017919368028.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924017919368028.png,-0.0,-0.0
1557924018002569913.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924018002569913.png,-0.0,-0.0
1557924018085834980.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924018085834980.png,-0.0,-0.0
1557924018168160915.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924018168160915.png,-0.0,-0.0
1557924018251271009.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924018251271009.png,-0.0,-0.0
1557924018334049940.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924018334049940.png,-0.0,-0.0
1557924028116132974.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028116132974.png,-0.0,-0.0
1557924028209248065.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028209248065.png,-0.0,-0.0
1557924028295659065.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028295659065.png,-0.0,-0.0
1557924028383012056.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028383012056.png,-0.0,-0.0
1557924028476140022.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028476140022.png,-0.0,-0.0
1557924028561105012.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028561105012.png,-0.0,-0.0
1557924028645389080.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028645389080.png,-0.0,-0.0
1557924028729304075.png,/home/tasuku/data/track-v0-night/1557924016413533926/1557924028729304075.png,-0.0,-0.0
